MaxBins,App,Time,Cost,NDistinct,Infs,Size,Placement
3,arFarming,3.074,24.6198,3,77120,256,"({'mainDB': 'n20', 'imgQueue': 'n182', 'snsQueue': 'n182', 'ctrlQueue': 'n182', 'recognizer': 'n67', 'visualizer': 'n67', 'calibre': 'n182', 'rectify': 'n67', 'roiSel': 'n182'},)"
4,arFarming,3.208,20.0442,4,77120,256,"({'mainDB': 'n63', 'imgQueue': 'n182', 'snsQueue': 'n182', 'ctrlQueue': 'n182', 'recognizer': 'n169', 'visualizer': 'n26', 'calibre': 'n182', 'rectify': 'n63', 'roiSel': 'n182'},)"
5,arFarming,3.167,20.0288,5,77120,256,"({'mainDB': 'n20', 'imgQueue': 'n230', 'snsQueue': 'n230', 'ctrlQueue': 'n230', 'recognizer': 'n169', 'visualizer': 'n26', 'calibre': 'n31', 'rectify': 'n169', 'roiSel': 'n31'},)"
6,arFarming,3.042,20.016,6,77120,256,"({'mainDB': 'n20', 'imgQueue': 'n38', 'snsQueue': 'n38', 'ctrlQueue': 'n38', 'recognizer': 'n169', 'visualizer': 'n26', 'calibre': 'n87', 'rectify': 'n131', 'roiSel': 'n87'},)"
7,arFarming,3.164,20.016,7,77120,256,"({'mainDB': 'n20', 'imgQueue': 'n61', 'snsQueue': 'n61', 'ctrlQueue': 'n61', 'recognizer': 'n169', 'visualizer': 'n26', 'calibre': 'n31', 'rectify': 'n131', 'roiSel': 'n14'},)"
8,arFarming,3.045,20.016,8,77120,256,"({'mainDB': 'n20', 'imgQueue': 'n104', 'snsQueue': 'n38', 'ctrlQueue': 'n104', 'recognizer': 'n169', 'visualizer': 'n26', 'calibre': 'n31', 'rectify': 'n131', 'roiSel': 'n14'},)"
9,arFarming,3.165,20.016,8,77120,256,"({'mainDB': 'n20', 'imgQueue': 'n104', 'snsQueue': 'n38', 'ctrlQueue': 'n104', 'recognizer': 'n169', 'visualizer': 'n26', 'calibre': 'n31', 'rectify': 'n131', 'roiSel': 'n14'},)"
2,speakToMe,0.23,124.6836,2,6916,64,"({'textBucket': 'n27', 'audioBucket': 'n27', 'mainDB': 'n27', 'postQueue': 'n27', 'converter': 'n3', 'uploadPost': 'n27', 'metaPost': 'n3', 'publishPost': 'n27', 'convertTxt': 'n3', 'uploadAudio': 'n27', 'metaAudio': 'n3'},)"
3,speakToMe,0.227,64.9858,3,6916,64,"({'textBucket': 'n13', 'audioBucket': 'n13', 'mainDB': 'n13', 'postQueue': 'n13', 'converter': 'n3', 'uploadPost': 'n15', 'metaPost': 'n3', 'publishPost': 'n15', 'convertTxt': 'n3', 'uploadAudio': 'n15', 'metaAudio': 'n3'},)"
4,speakToMe,0.228,64.3997,4,6916,64,"({'textBucket': 'n13', 'audioBucket': 'n13', 'mainDB': 'n13', 'postQueue': 'n13', 'converter': 'n3', 'uploadPost': 'n15', 'metaPost': 'n23', 'publishPost': 'n15', 'convertTxt': 'n23', 'uploadAudio': 'n15', 'metaAudio': 'n23'},)"
5,speakToMe,0.229,64.3997,5,6916,64,"({'textBucket': 'n58', 'audioBucket': 'n58', 'mainDB': 'n58', 'postQueue': 'n55', 'converter': 'n3', 'uploadPost': 'n32', 'metaPost': 'n26', 'publishPost': 'n32', 'convertTxt': 'n26', 'uploadAudio': 'n32', 'metaAudio': 'n26'},)"
6,speakToMe,0.23,64.3997,5,6916,64,"({'textBucket': 'n58', 'audioBucket': 'n58', 'mainDB': 'n58', 'postQueue': 'n55', 'converter': 'n3', 'uploadPost': 'n32', 'metaPost': 'n26', 'publishPost': 'n32', 'convertTxt': 'n26', 'uploadAudio': 'n32', 'metaAudio': 'n26'},)"
7,speakToMe,0.23,64.3997,5,6916,64,"({'textBucket': 'n58', 'audioBucket': 'n58', 'mainDB': 'n58', 'postQueue': 'n55', 'converter': 'n3', 'uploadPost': 'n32', 'metaPost': 'n26', 'publishPost': 'n32', 'convertTxt': 'n26', 'uploadAudio': 'n32', 'metaAudio': 'n26'},)"
8,speakToMe,0.229,64.3997,5,6916,64,"({'textBucket': 'n58', 'audioBucket': 'n58', 'mainDB': 'n58', 'postQueue': 'n55', 'converter': 'n3', 'uploadPost': 'n32', 'metaPost': 'n26', 'publishPost': 'n32', 'convertTxt': 'n26', 'uploadAudio': 'n32', 'metaAudio': 'n26'},)"
9,speakToMe,0.23,64.3997,5,6916,64,"({'textBucket': 'n58', 'audioBucket': 'n58', 'mainDB': 'n58', 'postQueue': 'n55', 'converter': 'n3', 'uploadPost': 'n32', 'metaPost': 'n26', 'publishPost': 'n32', 'convertTxt': 'n26', 'uploadAudio': 'n32', 'metaAudio': 'n26'},)"
10,speakToMe,0.23,64.3997,5,6916,64,"({'textBucket': 'n58', 'audioBucket': 'n58', 'mainDB': 'n58', 'postQueue': 'n55', 'converter': 'n3', 'uploadPost': 'n32', 'metaPost': 'n26', 'publishPost': 'n32', 'convertTxt': 'n26', 'uploadAudio': 'n32', 'metaAudio': 'n26'},)"
11,speakToMe,0.229,64.3997,5,6916,64,"({'textBucket': 'n58', 'audioBucket': 'n58', 'mainDB': 'n58', 'postQueue': 'n55', 'converter': 'n3', 'uploadPost': 'n32', 'metaPost': 'n26', 'publishPost': 'n32', 'convertTxt': 'n26', 'uploadAudio': 'n32', 'metaAudio': 'n26'},)"
2,speakToMe,1.021,124.6836,2,28755,128,"({'textBucket': 'n124', 'audioBucket': 'n124', 'mainDB': 'n124', 'postQueue': 'n124', 'converter': 'n82', 'uploadPost': 'n124', 'metaPost': 'n82', 'publishPost': 'n124', 'convertTxt': 'n82', 'uploadAudio': 'n124', 'metaAudio': 'n82'},)"
3,speakToMe,1.002,64.9858,3,28755,128,"({'textBucket': 'n105', 'audioBucket': 'n105', 'mainDB': 'n105', 'postQueue': 'n105', 'converter': 'n82', 'uploadPost': 'n122', 'metaPost': 'n82', 'publishPost': 'n122', 'convertTxt': 'n82', 'uploadAudio': 'n122', 'metaAudio': 'n82'},)"
4,speakToMe,1.002,64.3997,4,28755,128,"({'textBucket': 'n105', 'audioBucket': 'n105', 'mainDB': 'n105', 'postQueue': 'n105', 'converter': 'n82', 'uploadPost': 'n38', 'metaPost': 'n16', 'publishPost': 'n38', 'convertTxt': 'n16', 'uploadAudio': 'n38', 'metaAudio': 'n16'},)"
5,speakToMe,1.003,64.3997,5,28755,128,"({'textBucket': 'n59', 'audioBucket': 'n59', 'mainDB': 'n59', 'postQueue': 'n71', 'converter': 'n82', 'uploadPost': 'n38', 'metaPost': 'n16', 'publishPost': 'n38', 'convertTxt': 'n16', 'uploadAudio': 'n38', 'metaAudio': 'n16'},)"
